trace1;I m;I x
trace1;100;14
trace1;100;69
trace1;100;54
trace1;100;24
trace1;100;37
trace1;100;32
trace1;100;72
trace1;100;23
trace1;100;88
trace1;100;86
trace1;100;88
trace1;100;28
trace1;100;68
trace1;100;80
trace1;100;33
trace1;100;24
trace1;100;33
trace1;100;4
trace1;100;20
trace1;100;90
trace1;100;14
trace1;100;33
trace1;100;32
trace1;100;37
trace1;100;60
trace1;100;21
trace1;100;87
trace1;100;1
trace1;100;61
trace1;100;4
trace1;100;71
trace1;100;24
trace1;100;71
trace1;100;49
trace1;100;81
trace1;100;31
trace1;100;8
trace1;100;88
trace1;100;34
trace1;100;100
trace1;100;80
trace1;100;89
trace1;100;14
trace1;100;11
trace1;100;56
trace1;100;59
trace1;100;75
trace1;100;99
trace1;100;70
trace1;100;81
trace1;100;73
trace1;100;11
trace1;100;84
trace1;100;74
trace1;100;28
trace1;100;72
trace1;100;85
trace1;100;62
trace1;100;16
trace1;100;30
trace1;100;95
trace1;100;26
trace1;100;57
trace1;100;33
trace1;100;20
trace1;100;3
trace1;100;5
trace1;100;40
trace1;100;67
trace1;100;43
trace1;100;48
trace1;100;44
trace1;100;68
trace1;100;7
trace1;100;69
trace1;100;52
trace1;100;93
trace1;100;51
trace1;100;47
trace1;100;26
trace1;100;19
trace1;100;82
trace1;100;75
trace1;100;2
trace1;100;9
trace1;100;65
trace1;100;87
trace1;100;90
trace1;100;37
trace1;100;42
trace1;100;38
trace1;100;1
trace1;100;11
trace1;100;49
trace1;100;63
trace1;100;61
trace1;100;96
trace1;100;94
trace1;100;33
trace1;100;1
